"Login","Войти"
"Registration","Регистрация"
"yes", "да"
"Products", "продукт"
"Cart", "карзина"
"Item","Предметы"
"Sort By","Сортировать по"
"Add to Cart","добавить в корзину"
"Electronics","Електроника"
